"","ID","EventID","TimeBefore","IslandBefore","IslandAfter","EventDate","EventTimeDiff","EventMonth","EventX1","EventY1","EventX2","EventY2","AreaBefore","AreaAfter","IslandDistance","Date","SinceJudas","IceCover","IceThickness","MinDistIslands","MeanDist_k5","MeanDist_k10","MeanDist_all","N0_EventX1","N0_EventY1","AreaBefore_km2","AreaAfter_km2","IslandDistance_km","Judas","Ice","Sex","SteppingStones","IslandDensity","Islands_within","WaterTravelDist","LeastCostLength","SinceJudas_inv","WaterTravelKM","LeastCostKM","DistDifference","PerDifference","SteppingStoneDensity"
"21","R15","R15_3",22,"29216","29192","2021-11-14 02:00:00",4,"11",241203.377415724,6652872.60001143,241169.717803693,6650936.41885706,1885238.26475638,2017370.44741102,233.882024730731,"2021-11-14",-1,0,0,0.642893397074058,0.698501265306204,0.733703958628182,54.2006225242877,241203.377415724,6652872.60001143,1.88523826475638,2.01737044741102,0.233882024730731,"Before","Water","Male",2,0.573184019181478,56,271.571723918056,2243.13904531166,0,0.271571723918056,2.24313904531166,0.037689699187325,0.161148336349137,0.891607679951967
"22","R15","R15_4",18,"29192","29216","2021-11-14 20:00:00",16,"11",241957.0908306,6651622.08071115,240810.033710822,6652589.58871422,2017370.44741102,1885238.26475638,233.882024730731,"2021-11-14",-1,0,0,0.348595173051028,0.391599682962545,0.451283676519566,54.8704307075656,241957.0908306,6651622.08071115,2.01737044741102,1.88523826475638,0.233882024730731,"Before","Water","Male",1,0.442884060531119,47,256.851038623848,1575.28044779795,0,0.256851038623848,1.57528044779795,0.022969013893117,0.0982076921882359,0.634807599750177
"23","R15","R15_5",192,"29216","29807","2021-11-22 20:00:00",16,"11",240432.041546642,6652812.80560798,241684.739026921,6653628.80898144,1885238.26475638,236162.035327498,33.7574989614829,"2021-11-22",-1,0,0,0.285096215385744,0.533833646196288,0.754271122070833,53.8801571806446,240432.041546642,6652812.80560798,1.88523826475638,0.236162035327498,0.0337574989614829,"Before","Water","Male",0,0.451692027295075,38,41.5547441731908,1579.38971987359,0,0.0415547441731908,1.57938971987359,0.0077972452117079,0.230978166380291,0
"24","R15","R15_6",24,"29807","29216","2021-11-23 20:00:00",16,"11",241879.465508414,6653743.66945435,240116.457417257,6652384.72528783,236162.035327498,1885238.26475638,33.7574989614829,"2021-11-23",-1,0,0,0.128618135671551,0.198707826000173,0.240622613771044,54.2880030992378,241879.465508414,6653743.66945435,0.236162035327498,1.88523826475638,0.0337574989614829,"Before","Water","Male",0,0.396611964839056,44,43.1165484364476,2325.51069659979,0,0.0431165484364476,2.32551069659979,0.00935904947496471,0.277243568477728,0
"25","R15","R15_7",366,"29216","29192","2021-12-09 02:00:00",4,"12",240952.329542835,6651852.22139267,240846.588714276,6651184.77984444,1885238.26475638,2017370.44741102,233.882024730731,"2021-12-09",-1,0,0,0.246435867318949,0.328050559149913,0.414669250492485,54.3636865247569,240952.329542835,6651852.22139267,1.88523826475638,2.01737044741102,0.233882024730731,"Before","Water","Male",0,0.571555262419059,28,252.737789475947,905.607530887414,0,0.252737789475947,0.905607530887414,0.018855764745216,0.0806208376506262,0
"26","R15","R15_8",74,"29192","29216","2021-12-12 04:00:00",2,"12",241119.893382776,6650777.90097787,240896.391991914,6652357.82530411,2017370.44741102,1885238.26475638,233.882024730731,"2021-12-12",-1,0,0,0.441532386273364,0.498450456066327,0.572508882028135,54.7464143323173,241119.893382776,6650777.90097787,2.01737044741102,1.88523826475638,0.233882024730731,"Before","Water","Male",2,0.543468708806729,51,273.932322404845,2026.60331537355,0,0.273932322404845,2.02660331537355,0.040050297674114,0.171241452694896,0.98687295378837
"27","R18","R18_14",258,"10478","10481","2023-06-09 17:00:00",16,"6",177677.03332049,6700979.54783982,178261.708488937,6701502.74246319,1791200.01527066,11772.1050839965,45.965092069812,"2023-06-09",-1,0,0,0.446333339126614,0.543957272296887,0.637134111811841,50.9428350220367,177677.03332049,6700979.54783982,1.79120001527066,0.0117721050839965,0.045965092069812,"Before","Water","Female",0,0.406718118620373,42,108.79599620549,845.596559374286,0,0.10879599620549,0.845596559374286,0.062830904135678,1.36692653721329,0
"28","R18","R18_15",26,"10481","10478","2023-06-10 19:00:00",2,"6",177518.29507271,6701353.36759299,177717.399343961,6700717.57119602,11772.1050839965,1791200.01527066,45.965092069812,"2023-06-10",-1,0,0,0.0177040072202901,0.156559715648642,0.387953061633766,51.1199576988513,178265.491149344,6701484.04669416,0.0117721050839965,1.79120001527066,0.045965092069812,"Before","Water","Female",0,0.394266567386448,59,99.6054124546387,1002.12131779927,0,0.0996054124546387,1.00212131779927,0.0536403203848267,1.16697950486768,0
"29","R18","R18_2",22,"10478","10481","2023-05-05 17:00:00",16,"5",178146.161460674,6701563.37356942,178222.258913781,6701430.45043395,1791200.01527066,11772.1050839965,45.965092069812,"2023-05-05",-1,0,0,0.113421460816666,0.32035042917792,0.461023338961966,50.9522958363702,178146.161460674,6701563.37356942,1.79120001527066,0.0117721050839965,0.045965092069812,"Before","Water","Female",0,0.471149233938094,27,54.1072898231507,402.492235949962,0,0.0541072898231507,0.402492235949962,0.0081421977533387,0.177138723903181,0
"30","R18","R18_3",48,"10481","10478","2023-05-07 17:00:00",16,"5",177554.705939823,6701749.13813484,177957.37929102,6701725.22411091,11772.1050839965,1791200.01527066,45.965092069812,"2023-05-07",-1,0,0,0.0167211103658288,0.2772910099934,0.444566648920696,51.2333842941473,178222.258913781,6701430.45043395,0.0117721050839965,1.79120001527066,0.045965092069812,"Before","Water","Female",0,0.491157954474407,31,54.9376429348087,592.558014037445,0,0.0549376429348087,0.592558014037445,0.0089725508649967,0.195203587352096,0
